code_commune,nom_commune,num_bdv,code_circ,inscrits,votants,exprimes,participation,left,ctr,rgt,far
95585,Sarcelles,0024,7,1007,331,320,32.87,25.94,74.06,0.0,0.0
95585,Sarcelles,0025,7,982,283,279,28.82,40.5,59.5,0.0,0.0
95585,Sarcelles,0026,7,870,243,225,27.93,63.11,36.89,0.0,0.0
95585,Sarcelles,0027,7,518,149,144,28.76,45.83,54.17,0.0,0.0
95585,Sarcelles,0028,7,750,161,156,21.47,72.44,27.56,0.0,0.0
95585,Sarcelles,0029,7,875,282,269,32.23,72.86,27.14,0.0,0.0
95585,Sarcelles,0030,7,975,280,270,28.72,71.85,28.15,0.0,0.0
95585,Sarcelles,0001,8,1052,441,415,41.92,41.93,58.07,0.0,0.0
95585,Sarcelles,0002,8,1107,426,412,38.48,49.27,50.73,0.0,0.0
95585,Sarcelles,0003,8,1012,429,408,42.39,48.04,51.96,0.0,0.0
95585,Sarcelles,0006,8,993,417,402,41.99,44.03,55.97,0.0,0.0
95585,Sarcelles,0007,8,1193,537,522,45.01,37.55,62.45,0.0,0.0
95585,Sarcelles,0008,8,1232,454,434,36.85,48.62,51.38,0.0,0.0
95585,Sarcelles,0010,8,962,382,367,39.71,58.31,41.69,0.0,0.0
95585,Sarcelles,0011,8,975,382,372,39.18,31.99,68.01,0.0,0.0
95585,Sarcelles,0012,8,893,261,257,29.23,62.26,37.74,0.0,0.0
95585,Sarcelles,0013,8,1024,353,344,34.47,72.97,27.03,0.0,0.0
95585,Sarcelles,0014,8,1070,336,320,31.4,65.94,34.06,0.0,0.0
95585,Sarcelles,0015,8,947,297,289,31.36,69.55,30.45,0.0,0.0
95585,Sarcelles,0017,8,938,309,299,32.94,75.92,24.08,0.0,0.0
95585,Sarcelles,0019,8,1159,454,437,39.17,75.06,24.94,0.0,0.0
95585,Sarcelles,0023,8,796,232,225,29.15,59.56,40.44,0.0,0.0
95592,Seraincourt,0001,1,1000,467,428,46.7,36.68,63.32,0.0,0.0
95594,Seugy,0001,2,768,409,369,53.26,41.19,58.81,0.0,0.0
95598,Soisy-sous-Montmorency,0001,6,1409,646,595,45.85,33.11,66.89,0.0,0.0
95598,Soisy-sous-Montmorency,0002,6,1255,641,602,51.08,37.04,62.96,0.0,0.0
95598,Soisy-sous-Montmorency,0003,6,1486,705,651,47.44,37.48,62.52,0.0,0.0
95598,Soisy-sous-Montmorency,0004,6,1291,588,555,45.55,37.66,62.34,0.0,0.0
95598,Soisy-sous-Montmorency,0005,6,963,324,304,33.64,62.17,37.83,0.0,0.0
95598,Soisy-sous-Montmorency,0006,6,1255,640,598,51.0,29.1,70.9,0.0,0.0
95598,Soisy-sous-Montmorency,0007,6,1046,471,435,45.03,43.68,56.32,0.0,0.0
95598,Soisy-sous-Montmorency,0008,6,987,372,346,37.69,50.87,49.13,0.0,0.0
95598,Soisy-sous-Montmorency,0009,6,1287,558,508,43.36,39.17,60.83,0.0,0.0
95598,Soisy-sous-Montmorency,0010,6,798,260,251,32.58,70.52,29.48,0.0,0.0
95604,Survilliers,0001,9,1460,585,505,40.07,44.75,0.0,0.0,55.25
95604,Survilliers,0002,9,946,377,330,39.85,50.91,0.0,0.0,49.09
95607,Taverny,0001,3,1056,547,510,51.8,49.22,50.78,0.0,0.0
95607,Taverny,0002,3,881,444,415,50.4,45.3,54.7,0.0,0.0
95607,Taverny,0003,3,740,361,339,48.78,48.38,51.62,0.0,0.0
95607,Taverny,0004,3,1111,615,575,55.36,44.0,56.0,0.0,0.0
95607,Taverny,0005,3,1133,567,540,50.04,41.85,58.15,0.0,0.0
95607,Taverny,0006,3,1012,409,387,40.42,61.5,38.5,0.0,0.0
95607,Taverny,0007,3,1059,405,385,38.24,56.62,43.38,0.0,0.0
95607,Taverny,0008,3,1067,541,509,50.7,51.67,48.33,0.0,0.0
95607,Taverny,0009,3,950,421,394,44.32,59.64,40.36,0.0,0.0
95607,Taverny,0010,3,1082,527,483,48.71,45.96,54.04,0.0,0.0
95607,Taverny,0011,3,979,450,411,45.97,54.01,45.99,0.0,0.0
95607,Taverny,0012,3,1036,527,496,50.87,41.33,58.67,0.0,0.0
95607,Taverny,0013,3,869,353,338,40.62,62.72,37.28,0.0,0.0
95607,Taverny,0014,3,840,367,343,43.69,60.35,39.65,0.0,0.0
95607,Taverny,0015,3,637,313,297,49.14,43.1,56.9,0.0,0.0
95607,Taverny,0016,3,1047,487,465,46.51,61.29,38.71,0.0,0.0
95607,Taverny,0017,3,1043,520,486,49.86,44.44,55.56,0.0,0.0
95607,Taverny,0018,3,858,438,408,51.05,51.96,48.04,0.0,0.0
95610,Théméricourt,0001,1,233,129,120,55.36,33.33,66.67,0.0,0.0
95611,Theuville,0001,1,27,21,16,77.78,31.25,68.75,0.0,0.0
95612,Le Thillay,0001,9,838,335,308,39.98,49.03,0.0,0.0,50.97
95612,Le Thillay,0002,9,780,312,291,40.0,46.05,0.0,0.0,53.95
95612,Le Thillay,0003,9,828,297,273,35.87,41.39,0.0,0.0,58.61
95625,Us,0001,1,961,491,437,51.09,40.73,59.27,0.0,0.0
