code_commune,nom_commune,num_bdv,code_circ,inscrits,votants,exprimes,participation,eu_left,eu_ctr,eu_lr,eu_rn
95627,Vallangoujard,1,1,464,295,287,63.58,25.44,12.54,9.41,43.9
95628,Valmondois,1,1,1011,609,602,60.24,32.72,12.29,8.47,38.54
95633,Vaudherland,1,9,60,37,35,61.67,20.0,2.86,2.86,68.57
95637,Vauréal,1,10,1076,496,487,46.1,46.82,19.3,3.49,22.18
95637,Vauréal,2,10,876,423,400,48.29,45.25,17.25,3.75,24.75
95637,Vauréal,3,10,893,490,479,54.87,42.38,18.37,11.27,19.83
95637,Vauréal,4,10,894,415,403,46.42,45.91,15.14,5.71,27.05
95637,Vauréal,5,10,788,465,452,59.01,41.37,14.6,6.86,27.43
95637,Vauréal,6,10,1119,566,557,50.58,38.6,17.24,7.0,26.57
95637,Vauréal,7,10,1186,575,557,48.48,51.17,12.21,3.59,25.67
95637,Vauréal,8,10,1046,417,408,39.87,55.88,10.29,4.66,22.55
95637,Vauréal,9,10,1179,424,414,35.96,58.45,9.66,0.97,24.15
95637,Vauréal,10,10,968,447,435,46.18,43.45,17.01,2.99,28.28
95637,Vauréal,11,10,922,404,394,43.82,47.97,15.48,5.58,21.32
95637,Vauréal,12,10,971,421,405,43.36,52.35,12.84,4.2,25.19
95641,Vémars,1,9,867,422,413,48.67,33.17,9.93,6.54,41.89
95641,Vémars,2,,930,447,431,48.06,32.25,7.42,5.8,44.78
95651,Vétheuil,1,1,604,394,385,65.23,39.22,15.06,9.61,27.53
95652,Viarmes,1,2,1432,760,748,53.07,24.6,13.9,6.15,49.06
95652,Viarmes,2,2,1352,722,709,53.4,27.79,14.95,7.48,42.03
95652,Viarmes,3,2,1302,696,683,53.46,22.99,15.52,6.88,46.56
95656,Vienne-en-Arthies,1,1,330,230,225,69.7,27.56,19.11,10.67,34.67
95658,Vigny,1,1,882,492,482,55.78,26.76,16.18,9.96,38.17
95660,Villaines-sous-Bois,1,2,550,305,296,55.45,24.32,11.49,9.12,46.28
95675,Villeron,1,9,886,477,467,53.84,28.27,9.21,7.71,49.68
95676,Villers-en-Arthies,1,1,396,248,244,62.63,19.26,11.07,14.34,47.13
95678,Villiers-Adam,1,2,621,385,377,62.0,27.32,13.53,7.96,45.09
95680,Villiers-le-Bel,1,8,673,292,276,43.39,52.9,5.43,3.26,30.43
95680,Villiers-le-Bel,2,8,629,247,243,39.27,59.26,5.35,4.12,25.1
95680,Villiers-le-Bel,3,8,549,183,177,33.33,61.58,3.39,5.08,20.9
95680,Villiers-le-Bel,4,8,995,387,374,38.89,62.83,6.15,2.67,23.8
95680,Villiers-le-Bel,5,8,858,376,356,43.82,42.7,7.58,5.06,39.89
95680,Villiers-le-Bel,6,8,998,354,341,35.47,64.52,9.09,1.76,19.94
95680,Villiers-le-Bel,7,8,1073,399,382,37.19,63.87,6.02,2.88,23.3
95680,Villiers-le-Bel,8,8,926,304,289,32.83,74.39,4.15,0.69,15.22
95680,Villiers-le-Bel,9,8,959,328,313,34.2,69.97,5.11,2.24,15.97
95680,Villiers-le-Bel,10,8,921,354,348,38.44,60.34,7.47,3.16,24.14
95680,Villiers-le-Bel,11,8,873,394,384,45.13,47.92,7.81,4.69,31.25
95680,Villiers-le-Bel,12,8,843,393,375,46.62,51.47,8.27,4.27,29.07
95680,Villiers-le-Bel,13,8,904,393,381,43.47,59.06,8.92,2.62,24.15
95680,Villiers-le-Bel,14,,954,406,385,42.56,56.1,5.19,2.08,28.57
95680,Villiers-le-Bel,15,,1074,466,454,43.39,48.24,10.79,4.41,31.5
95682,Villiers-le-Sec,1,9,115,63,62,54.78,35.48,12.9,9.68,27.42
95690,Wy-dit-Joli-Village,1,1,289,192,188,66.44,27.13,18.09,10.11,37.23
