code_commune,nom_commune,num_bdv,code_circ,inscrits,votants,exprimes,participation,pr_left,pr_macron,pr_pec,pr_lepen,pr_zem,pr_other
95676,Villers-en-Arthies,1,1,382,339,334,88.74,23.65,14.07,32.93,22.46,0.0,6.89
95678,Villiers-Adam,1,2,593,545,535,91.91,21.31,23.18,25.98,20.93,0.0,8.6
95680,Villiers-le-Bel,1,8,1265,856,836,67.67,42.11,22.13,12.08,17.7,0.0,5.98
95680,Villiers-le-Bel,2,8,867,620,599,71.51,48.58,21.37,11.35,13.02,0.0,5.68
95680,Villiers-le-Bel,3,8,938,660,649,70.36,27.27,27.43,20.03,16.95,0.0,8.32
95680,Villiers-le-Bel,4,8,771,520,505,67.44,43.76,24.16,10.5,15.84,0.0,5.74
95680,Villiers-le-Bel,5,8,935,607,587,64.92,49.74,14.82,12.27,20.61,0.0,2.56
95680,Villiers-le-Bel,6,8,1374,849,816,61.79,50.98,22.3,8.7,12.99,0.0,5.02
95680,Villiers-le-Bel,7,8,1044,671,648,64.27,45.37,25.0,9.26,13.73,0.0,6.64
95680,Villiers-le-Bel,8,8,1010,739,721,73.17,37.86,23.02,20.94,13.59,0.0,4.58
95680,Villiers-le-Bel,9,8,1068,679,658,63.58,56.53,23.1,6.69,9.88,0.0,3.8
95680,Villiers-le-Bel,10,8,1048,664,648,63.36,37.65,25.93,17.28,13.73,0.0,5.4
95680,Villiers-le-Bel,11,8,1199,854,834,71.23,42.69,18.82,15.83,16.19,0.0,6.47
95680,Villiers-le-Bel,12,8,981,664,644,67.69,42.08,24.38,13.51,14.91,0.0,5.12
95680,Villiers-le-Bel,13,8,713,438,413,61.43,58.11,22.28,6.78,9.93,0.0,2.91
95682,Villiers-le-Sec,1,9,120,110,106,91.67,32.08,24.53,19.81,16.04,0.0,7.55
95690,Wy-dit-Joli-Village,1,1,309,263,261,85.11,20.31,26.82,27.59,18.01,0.0,7.28
