key,left_leg24,centre_leg24,right_leg24,far_right_leg24,left_leg22,centre_leg22,right_leg22,far_right_leg22,left_leg17,centre_leg17,right_leg17,far_right_leg17,left_pres22,centre_pres22,right_pres22,far_right_pres22,left_euro24,centre_euro24,right_euro24,far_right_euro24,winner_t2_24,proj_left,proj_rn,margin_left,scenario
0301,29.91,17.11,13.35,39.62,9.55,19.44,14.44,24.63,37.44,29.04,20.25,12.26,17.06,0.0,0.0,0.0,28.34,12.7,8.83,42.7,LEFT,43.9,47.3,-3.4,rn_resistant
0302,25.6,12.57,26.51,35.31,15.47,24.63,11.19,24.15,35.55,26.11,24.31,11.7,19.37,0.0,0.0,0.0,28.77,12.33,7.68,43.8,FAR_RIGHT,40.6,47.3,-6.7,bastion_rn
0303,22.13,0.0,40.05,37.82,5.95,23.27,24.22,25.8,28.47,34.44,19.77,15.58,15.84,0.0,0.0,0.0,25.54,13.97,10.09,42.8,RIGHT,33.3,53.0,-19.7,bastion_rn
0401,28.2,19.35,7.03,45.41,7.82,22.43,1.74,36.45,30.03,41.6,3.94,21.87,22.37,0.0,0.0,0.0,31.37,11.55,3.71,45.61,FAR_RIGHT,41.8,51.0,-9.2,bastion_rn
0402,33.97,22.69,1.14,42.2,4.96,33.96,0.0,29.18,23.21,44.04,15.98,15.15,23.85,0.0,0.0,0.0,35.09,12.57,4.63,41.04,FAR_RIGHT,47.9,46.0,1.9,bascule_possible
0501,32.03,22.58,7.15,38.24,4.8,24.9,12.56,27.22,29.84,31.93,15.97,13.58,22.37,0.0,0.0,0.0,34.45,13.98,5.41,39.65,LEFT,47.6,44.3,3.3,bascule_possible
0502,33.72,26.7,0.0,33.88,4.83,38.04,5.41,21.87,20.18,54.93,12.97,10.69,24.44,0.0,0.0,0.0,37.85,14.15,5.61,35.71,LEFT,49.7,37.9,11.8,bascule_probable
0601,30.05,22.79,5.78,41.04,6.28,25.92,31.7,14.9,17.77,32.35,35.5,13.26,21.95,0.0,0.0,0.0,31.84,13.34,9.75,40.66,FAR_RIGHT,45.3,46.7,-1.4,rn_resistant
0602,23.5,16.53,10.33,49.64,4.95,23.67,18.51,33.2,17.88,56.37,0.47,24.45,17.28,0.0,0.0,0.0,25.31,12.06,7.21,49.18,FAR_RIGHT,36.3,56.0,-19.7,bastion_rn
0603,31.64,25.36,0.0,42.99,8.87,26.04,12.81,29.45,17.55,52.4,3.87,23.1,22.21,0.0,0.0,0.0,31.71,12.46,8.27,43.01,FAR_RIGHT,46.9,46.8,0.1,rn_resistant
0604,21.39,22.33,0.0,56.27,5.76,22.37,14.52,41.33,17.21,28.23,20.64,24.93,14.05,0.0,0.0,0.0,20.67,11.37,6.77,55.76,T1_WIN,34.8,59.6,-24.8,bastion_rn
0605,24.57,14.31,0.0,50.35,4.64,26.14,22.48,27.83,18.41,0.0,34.53,25.64,17.6,0.0,0.0,0.0,24.75,11.51,8.65,50.22,T1_WIN,33.2,52.5,-19.3,bastion_rn
0606,19.39,0.0,29.76,50.85,5.54,24.45,20.18,36.11,13.53,33.04,27.45,23.16,13.32,0.0,0.0,0.0,21.13,13.01,8.29,53.27,T1_WIN,27.7,62.2,-34.5,bastion_rn
0607,19.57,17.47,24.88,37.73,7.05,23.78,26.76,25.67,16.54,32.08,33.39,17.32,15.04,0.0,0.0,0.0,26.76,16.25,9.89,42.49,RIGHT,37.0,49.8,-12.8,bastion_rn
0608,16.66,12.09,28.39,42.74,3.94,19.47,33.4,29.89,14.63,31.21,31.58,21.99,15.5,0.0,0.0,0.0,20.26,13.06,11.6,50.81,RIGHT,31.9,55.3,-23.4,bastion_rn
0609,22.19,0.0,33.84,43.97,5.02,20.06,28.94,29.73,15.31,34.5,29.25,19.94,15.07,0.0,0.0,0.0,24.52,13.44,9.71,47.8,RIGHT,31.7,56.8,-25.1,bastion_rn
0701,40.07,12.22,5.64,42.07,39.88,17.12,10.34,28.63,42.09,38.96,0.0,15.08,22.96,0.0,0.0,0.0,33.64,10.81,5.18,43.44,LEFT,49.0,46.0,3.0,bascule_possible
0702,25.86,17.43,15.39,37.79,0.0,30.04,19.17,24.12,38.81,25.96,20.16,14.58,19.14,0.0,0.0,0.0,30.13,13.97,7.75,42.31,FAR_RIGHT,40.6,46.3,-5.7,bastion_rn
0703,29.72,10.43,26.48,32.78,14.2,13.16,24.96,19.59,39.52,25.11,21.04,12.9,25.68,0.0,0.0,0.0,36.15,11.41,6.13,38.87,RIGHT,43.4,44.4,-1.0,rn_resistant
0801,20.37,26.16,3.83,47.49,2.87,24.75,19.66,32.92,16.08,23.17,37.79,21.07,15.95,0.0,0.0,0.0,21.89,12.94,7.47,51.29,FAR_RIGHT,37.1,52.9,-15.8,bastion_rn
0802,19.64,9.38,30.15,40.83,0.95,12.69,40.98,24.67,31.65,22.48,25.86,19.45,20.81,0.0,0.0,0.0,24.69,10.38,6.45,52.5,RIGHT,33.7,53.7,-20.0,bastion_rn
0803,13.06,0.0,43.56,43.38,0.6,8.64,47.69,27.04,21.23,14.51,46.19,17.56,15.85,0.0,0.0,0.0,19.55,12.26,7.86,52.77,RIGHT,25.3,59.9,-34.6,bastion_rn
0901,58.0,0.0,0.0,42.0,19.4,19.96,0.0,25.08,43.22,31.35,5.34,11.97,27.89,0.0,0.0,0.0,41.13,9.7,2.98,35.97,T1_WIN,58.0,42.0,16.0,bastion_gauche
0902,52.74,0.0,4.9,42.36,25.67,15.47,0.0,24.53,43.24,26.74,14.61,14.8,25.26,0.0,0.0,0.0,35.73,9.65,3.58,40.48,LEFT,54.1,44.2,9.9,bascule_probable
